Date,FIBBG000B9XRY4,FIBBG000BB5BF6,FIBBG000BDTBL9,FIBBG000TDCVT6
2021-01-04,129.41,17.25,368.79,2.01
2021-01-05,131.01,17.37,371.33,1.98
2021-01-06,126.6,18.36,373.55,2.01
2021-01-07,130.92,18.08,379.1,2.05
2021-01-08,132.05,17.69,381.26,2.14
2021-01-11,128.98,19.94,378.69,2.2
2021-01-12,128.8,19.95,378.77,2.29
2021-01-13,130.89,31.4,379.79,2.18
2021-01-14,128.91,39.91,378.46,2.18
2021-01-15,127.14,35.5,375.7,2.33
2021-01-19,127.83,39.36,378.65,3.06
2021-01-20,132.03,39.12,383.89,2.97
2021-01-21,136.87,43.03,384.24,2.98
2021-01-22,139.07,65.01,382.88,3.51
2021-01-25,142.92,76.79,384.39,4.42
2021-01-26,143.16,147.98,383.79,4.96
2021-01-27,142.06,347.51,374.41,19.9
2021-01-28,137.09,193.6,377.63,8.63
2021-01-29,131.96,325.0,370.07,13.26
